Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
72766,2015-12-07,Bank account or service,Checking account,"Making/receiving payments, sending money",,"Chase bank has no allow me to recover XXXX dollars that where transfer by a mistake to a wrong person, they told me that they ca n't recover my money they where alert the same second I receive the notification",,JPMORGAN CHASE & CO.,NY,11214,,Consent provided,Web,12/07/15,Closed with explanation,Yes,Yes,1686657
72889,2015-06-26,Credit reporting,,Incorrect information on credit report,Account status,"My credit score dropped over XXXX points in less than a week due to what is show as a "" Serious Delinquency. '' The payment was 9 days late due to a technical issue with online bill pay ( I was sent a physical check made out to XXXX whereas the funds should have been wired ). XXXX refunded the late fee due to the error and reviewed the check yet still the credit agencies deflated my score. The payment was for {$130.00}. It is currently listed as a 30-day serious delinquency",Company chooses not to provide a public response,Experian Information Solutions Inc.,NY,11367,,Consent provided,Web,06/26/15,Closed with explanation,Yes,No,1439475
72946,2015-07-02,Credit card,,Other fee,,"I obtained a Chase Freedom card, with an offer of 0 % interest for the first year. I was encouraged to take overdraft protection ; I was told that this overdraft protection would reduce the fee in half. I was never told anything about interest, and was told to sign a waver. I asked, "" whats the catch. '' "" No catch '' the clerk said, "" just lower fees in overdraft. 

There was a catch. That zero percent interest did n't apply to fees. Apparently I was paying interest every single month on those fees. It cost me hundreds of dollars again. The entire program was designed around defrauding people who do n't think this far into it, are inexperienced with credit cards, and would n't think to look at whether interest applies here.",,JPMORGAN CHASE & CO.,NY,10013,,Consent provided,Web,07/02/15,Closed with monetary relief,Yes,No,1449900
73030,2015-07-31,Credit reporting,,Incorrect information on credit report,Account status,"We advised the credit bureaus that XXXX, XXXX XXXX and XXXX furnished them with incomplete and inaccurate information. Review the attached documentation which was sent to each of the aforementioned banks. They detail inaccurate information we were given at he time of hurricane XXXX. The incorrect information was relied upon to make financial decisions we would not have otherwise made. We wrote to each individual bank and have escalated it to the highest level and have filed complaints with the Consumer Protection Agency. We have also filed complaints on-line and made telephone calls directly to each of the credit bureaus. We stated that the information reported by the banks was inaccurate inasmuch as it does not reflect the entire circumstances of events fairly. IT DOES N'T TELL THE WHOLE STORY. This is a violation of our rights under the, "" fair credit reporting act. '' During hurricane XXXX both XXXX and XXXX XXXX verbally authorized via the customer service department a Disaster Relief program and/or moratorium of mortgage payments. At that time, neither bank fully disclosed how the waived payments would be repaid. We were told by both institutions that the missed payments would be added to the end of the loan. Both institutions told us after we had already taken part in the moratorium of mortgage payments that they must be paid in full at he end of the waived period. XXXX involvement is limited to having bought the loan from XXXX and has continued to report us late to the credit bureaus. However, since XXXX took over our loan in XXXX 2014 we have not missed or been late with a mortgage payment. Furthermore, if you research the history of loans with XXXX and XXXX XXXX, you will find that we have never been late or missed a payment and we are not in any foreclosure proceedings. However, the past reporting which still remains on our credit report has caused irreparable damage to our credit scores, my employment and our quality of life in general.",,"EQUIFAX, INC.",NY,125XX,,Consent provided,Web,07/31/15,Closed with explanation,Yes,No,1497533
73061,2015-08-22,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,Navient ( former XXXX XXXX ). Is threatening and ruining my credit score because they are a backwards company. XX/XX/2014 I had made a payment of {$930.00} to make my account up to date. XXXX days later I made another payment for XXXX of the accounts for {$170.00}. Navient is claiming that I still have not paid the XX/XX/XXXX payments and other payments throughout the year. They have sent numerous credit reports stating I 'm this far behind when I'am not. I sent Navient a printed payment history from their website and highlighted each loan payment in a different color for each loan stating when it was paid and the amount. They are still threatening that this is behind calling family members who are not immediate asking for my co-signers. Im trying to resolve this situation and pay my loans but it is impossible to work with this company and they are affecting my future.,,"Navient Solutions, LLC.",NY,14150,,Consent provided,Web,08/22/15,Closed with explanation,Yes,No,1531721
73161,2015-10-15,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"Robo-signing is illegal and has been outlawed in the State of New York. I have discovered the Assignment of Mortgage on my loan was robo-signed by serial robo-signer XXXX XXXX. 

Fay Servicing is trying to unlawfully claim ownership of the mortgage using a robo-signed Assignment of Mortgage. 

On XXXX XXXX, 2007 XXXX XXXX was [ n ] ot an employee ( Vice President ) XXXX on that date. XXXX XXXX was also showing to be an employee ( Vice President ) of XXXX Bank, XXXX on XX/XX/XXXX, 2007.",,"Fay Servicing, LLC",NY,11434,,Consent provided,Web,10/15/15,Closed with explanation,Yes,No,1607721
73181,2015-06-03,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,"I purchased a vehicle through Credit Acceptance Corp for XXXX with a 25 % interest rate that i have paid over XXXX dollars on and they are stating that i still owe XXXX dollars on the balance and are threatening to repo it. I was out of work for XXXX weeks with a XXXX and collecting XXXX of XXXX per week and still made my monthly payment. XXXX week returned to work to come out of work and find my car gone. they demanded XXXX dollars to get my car back which i payed them. Only to get a call stating i was XXXX behind in my payments and are threatening to repo it again, after just XXXX weeks of paying the XXXX to get it back.",Company chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,NY,131XX,,Consent provided,Web,06/03/15,Closed with explanation,Yes,No,1404295
73420,2015-10-28,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"I have been in the modification process with CitiMortgage for the last 2 years. I am consistently denied a modification. My last XXXX denials were because of unverifiable income. I work on the books, get a paystub and XXXX and my job deposits my money in my account every month. I get rental income, that is also deposited in my account every month. I submit any and all documents that were requested. I even forced my tenants to sign a lease because the banks said that I HAD to have a leases, though I did not want XXXX. I do not understand why my modification request is being denied. I make {$66000.00} a year plus have {$16000.00} in rental income. I filed bankrupcy and it was discharged in XXXX 2015, so I do not have any other revolving debt other than my student loans. My mortgage balance is {$390000.00}. I need help in determining why they are allowed to do this. I provide everything in a timely manner.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,11412,,Consent provided,Web,10/29/15,Closed with explanation,Yes,No,1629118
73664,2015-10-19,Credit card,,Late fee,,"I closed my account with Citicard XX/XX/XXXX. I had been a loyal customer of Citicard since XX/XX/XXXX, and received paper bills and paid them in a timely manner every month for 14 years. After I closed my account, I cut up my physical card, and stopped using the account. Unbeknownst to me, there was a small balance - under {$10.00} - remaining. I did not receive a paper bill to indicate there was a balance. I received a call from a collection agency saying I now owe over {$88.00} which includes XXXX charges of {$25.00} for late payment - plus interest. My card has been closed! They say I switched to e-billing. I assured them I had not since I get ALL my bills from every vendor mailed to me each month.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,10543,,Consent provided,Web,10/19/15,Closed with monetary relief,Yes,Yes,1613962
73681,2015-09-20,Credit card,,Credit card protection / Debt protection,,"My credit card information was stolen and my credit card was used without my knowledge in XXXX 2015. I notified XXXX XXXX XXXX about the fraud. Credit card company agreed to waive my payment for unauthorized purchases in XXXX 2015. 
On XXXX XXXX, the company sent me letters and charged me total of {$430.00} without any explanation.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11364,,Consent provided,Web,09/23/15,Closed with explanation,Yes,Yes,1571696
73768,2015-06-02,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"Expenses for Reimbursement : Condo Inspection - {$350.00} Copies from XXXX - {$4.00} Attorney Fees - {$880.00} Condo Questionnaire - {$140.00} Mortgage Application Fee - $ XXXX - XXXXWe expect the Bank of America to honor and accept the mistakes and shortcomings that occurred by their employees.The purchase of our condo fell thru XXXX days before the closing of XX/XX/XXXX.We ca n't express enough the disappointment of the loss of this purchase and expense and lack of trust and communication of Bank of America to do their jobs properly. On Monday, XX/XX/XXXX, our Attorney called us to let us know that the deal had fell through due to the neglect of Bank of America Mortgage Loan Officers doing their job in a timely fashion. The mortgage was approved. All papers were submitted to Bank of America by us for the approval. We were trying to reach the Bank of America Mortgage Officer & his Manager XXXX XXXX for days and only received a call XXXX days after I had submitted a complaint with the XXXX telling me that they would not refund all of our money even though it was their fault. What a disgrace. They always called us to call each of them as their way to communicate. It was bizarre. It was like they never even spoke to each other. The Mortgage Officer would not take care of the Condo questionnaire. We had to have our realtor pay for it up front. He would never answer her calls or emails. Then XXXX week after the questionnaire was completed, another Bank of America employee called because she wanted to take care of the questionnaire and wanted our credit card number. The Loan Officer had called us for our credit card number to pay for the mortgage fee application and said he was charging the card {$440.00}. He charged our card {$660.00}. Who does this? Is this how Bank of America does business? Our Attorney called us once a week complaining that both Bank of America Officers would not respond to their calls and emails. They put all of us from the very start in a very bad position with this whole process. The burden of their jobs was pushed on us XXXX a week. It was like every day was their first day on the job! My husband and I are just XXXX over this and their neglect. Please help us. 
Time Line : Bid with Realtor - XX/XX/XXXX Inspection on Property - XX/XX/XXXX Mortgage Approval with Bank of America, - XX/XX/XXXX Condo Questionnaire Sent to BofA Mort Loan Officer to Complete - XX/XX/XXXX Condo Questionnaire Completed by Realtor - XX/XX/XXXX We were notified that Deal Fell Through - XX/XX/XXXXthe closing was set for XX/XX/XXXX ... ... We just want our expense back for their shortcoming ...",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,105XX,,Consent provided,Web,06/02/15,Closed with monetary relief,Yes,No,1401946
73905,2015-11-06,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"Submitted hardship packet to Flagstar on XXXX/XXXX/15 thru a HUD approved housing counselingageny XXXX. I received an acknowledgement of receipt of my hardship packet and a misisng document letter dated XXXX/XXXX/15. It indicated my lender ( Flagstar ) required updated pay stubs and 6 months of the most recent business bank statements for all accounts evidencing continuation of a business. I responded to the lender thru my housing counselor via fax with updated pay stubs on XXXX/XXXX/15. Also on the same day, my counselor confirmed with a lender representative verbally that the authorization submitted with the hardship packet had been received and advised the representative that the request for 6 months of business bank statements was invalid because I did not have a business nor did any of the documents or the hardship packet submitted indicate that I had a business. A letter was forwarded to the lender on XXXX/XXXX/15 indicating the same. I received a second request for the business bank statements dated XXXX/XXXX/15. My counselor contacted Flagstar on XXXX/XXXX/15 to follow up and was advised that they had no authorization in place. My counselor then re-faxed the authorization ( same day ). My counselor contacted Flagstar on XXXX and was advised that Flagstar still wanted 6 months of business bank statements. The representative told my counselor that my case would be closed due to non receipt of the business bank statements. My counselor advised the lender rep that a letter had been sent and the point of contact assigned to my case XX/XX/XXXX had been notified that their was an error with this request because I did not have a business and therefore could not provide the statements requested. She also asked the lender rep to bring this to the attention of both intake and underwriting so they would review the initial hardship packet again to confirm these documents were not needed. She then faxed a second letter to the lender advising I did not have a business and could not provide business bank statements on XXXX/XXXX/15 and XX/XX/XXXX15.. On XXXX/XXXX/15 my counselor contacted Flagstar and was told that my case had been closed due to non receipt of the business bank statements. She again explained that I did not have a business so could not provide the statements requested and asked that my case be reopened. The lender rep advised her that my case would go in review to determine if they would reopen and to requested my counselor call back the following day. My counselor called on XXXX/XXXX/15 and was advised that the case was again in review.",Company chooses not to provide a public response,"Flagstar Bank, N.A.",NY,121XX,,Consent provided,Web,11/06/15,Closed with explanation,Yes,No,1643312
73976,2015-11-16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,"My husband and I took out a loan for our daughter to attend a private high school though AES/NCT. My husband I split up and it went into default. As of XXXX 2015 it was paid in full. XXXX XXXX has taken it off the credit report but it is still on the other reports. I have called AES ( American Education Services ) several times and have contacted the credit bureaus. The credit bureaus tell me AES needs to remove it and AES tells me they no longer own it so they wo n't remove it. I have disputed this several times with the credit bureaus, each time they tell me AES states that I am still responsible. As this has been settled through a third party ( XXXX XXXX XXXX XXXX. ), how do I have this negative reporting removed since this account has been settled?.",,AES/PHEAA,NY,146XX,,Consent provided,Web,11/16/15,Closed with explanation,Yes,No,1658148
74016,2015-06-19,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I have been receiving phone calls from a company called PCB about a medical bill from a year ago. What 's alarming to me is I have yet to receive a detailed statement, as this was from XXXX year ago. 
I spoke with my previous insurance company and was informed there is no outstanding balance, and I have documentation as well. 
I 'm being intimidated by a representative named XXXX, that I have to pay my debt which I do n't have. Upon trying to get further information and explaining the situation once again, I 'm either put on hold for a long duration or they disconnect the call. 
The reps name is XXXX from PCB, and the number is ( XXXX ) XXXX",,"Professional Claims Bureau, Inc.",NY,11221,,Consent provided,Web,06/23/15,Closed with explanation,Yes,No,1429328
74077,2015-10-21,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,"On XXXX XXXX, 2015, someone identifying herself as XXXX from the Law Offices of M.L. Zager, P.C. contacted a third party about a medical bill. They contacted, by phone, a relative who lives in a different household and has nothing to do with my finances at all, asking about me and saying I owed them money. The phone number they called is not a phone number that has ever been associated with any of my accounts, so I do not know how they got it.",Company believes it acted appropriately as authorized by contract or law,M.L. Zager P.C.,NY,109XX,,Consent provided,Web,10/21/15,Closed with explanation,Yes,Yes,1618591
74187,2015-04-22,Money transfers,International money transfer,Other service issues,,"When paying a XXXX invoice of XXXX, I wanted to determine if I would be charged in USD before I used my XXXX XXXX card, so as to avoid foreign transaction fees. Otherwise, I would use a different credit card that does not charge such fees. I called PayPal on XXXX/XXXX/15 at XXXX Eastern Daylight Time and was repeatedly assured during a 14-minute phone call I would be charged in USD. I transacted the payment at XXXX EDT on that date. I was charged in XXXX, and XXXX XXXX added a foreign transaction fee of {$84.00}. When I called PayPal back on XXXX/XXXX/15 at XXXX EDT, I spoke to supervisor XXXX, who informed me that the only action available is to ask the merchant to refund the money. After disputing the charge with XXXX XXXX ( to no avail because this disputed the charge with the merchant directly, which is not what I need ), I attempted to communicate with PayPal again about this issue. I spoke to another representative who told me he would open an investigation and listen to the phone call in question to confirm that the conversation in question did in fact include the assurance that I would be charged in USD. He told me I would hear back in a couple of days. I never heard back, and a week later called back, and another representative told me again that they would investigate the matter, and that they saw no evidence of such a request on my profile. Again, I never heard back. I called back again on XXXX/XXXX/15 at XXXX EDT, and spoke to another representative for 15 minutes who was rather difficult and rude and stalled my request to speak to a supervisor. After I insisted to speak to a supervisor, I was put on hold for 30 minutes before hanging up and calling back at XXXX EDT, asking to speak to a supervisor immediately. I spoke to supervisor XXXX, who told me she would send a request to an office to have a payment credited to my account to offset the fee of {$84.00}, and to call back to check on the status of the request. I called back the next day, XXXX/XXXX/15 at XXXX EDT, and the response was that I would have to deal with this through XXXX XXXX, since it was a fee charged by XXXX XXXX. Of course, XXXX XXXX is in no way responsible for this issue - PayPal is, because PayPal gave me wrong information that resulted in my being charged the foreign transaction fee. After nearly a month of being forestalled and disrespected by PayPal in this matter, I decided to file a complaint with the Consumer Financial Protection Bureau.",Company believes it acted appropriately as authorized by contract or law,"Paypal Holdings, Inc",NY,115XX,,Consent provided,Web,04/22/15,Closed with monetary relief,Yes,No,1341809
74296,2015-04-02,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,"2009 XXXX XXXX, XXXX XXXX Thursday of every month I got pulled from class to get a new loan for my living and tuition expenses. I was at XXXX for one year and if I did n't go to sign the papers for my new loan every month I would n't be able to continue my classes to XXXX. I missed out on important class information and had to make them up on my own time. Homework and other hands on tasks became more difficult to accomplish if I did n't make up the lost time going to sign loan papers. I was told a rough amount that my school loan would be. About {$15000.00}. I started paying {$120.00} a month for my loan agreement then Genesis Lending increased it to {$190.00}. I called to ask why the increase in payment amount each month. I was told they saw i had a higher income so they adjusted the payment accordingly. Is that legal? I 've been paying this amount for 6 years and still owe {$13000.00}. I called Genesis Lending and come to find out they have been rolling over all the interest I pay on the loan every year. So all I 'm paying is interest basically for the last 6 years. I do n't think I 'm being treated fairly or legally.",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,NY,134XX,,Consent provided,Web,04/06/15,Closed with explanation,Yes,No,1312591
74342,2015-11-19,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,"The drop-down menu does not have an option that would be on point with my complaint which is trifold:1 ) During negotiations of the settlement of balance on my credit cards, Amex repeatedly represented and promised that if I entered into a repayment agreement and made all payments on time pursuant to it, my accounts with Amex would be reopened based only on the repayment history. However, when I contacted Amex upon making all XXXX payments on time, Amex refused to reopen my, accounts. 

2 ) During the repayment period of 36 months, neither Amex nor their debt collector - XXXX - provided periodic account statements as required by law. In that period of time, I received only XXXX random statements out of the minimum of XXXX which they should have provided to comply with the law ( quarterly frequency is the lowest permissible under the law ). 

3 ) I believe that my payments were misapplied, and that as a result, the amount I paid exceeded what was owed to Amex. Of course, timely statements, had they been provided, would have allowed me to verify the application of my payments, but I was deprived of the opportunity of such timely verification. Through other sources of information including my credit report, I was able to confirm that in XXXX 2015, Amex reported XXXX of my cards as paid off in full. Giving Amex the benefit of the doubt ( and assuming that they report such information timely ) that card might have been paid off in XXXX 2015 ( if not earlier ). However, Amex continued to collect and apply towards that account a portion of my payment for the months of XXXX and XXXX. Those payments amounted to {$140.00}, and I believe that that is the amount of overpayment which should have been returned to me.",,AMERICAN EXPRESS COMPANY,NY,114XX,,Consent provided,Web,11/23/15,Closed with non-monetary relief,Yes,No,1664062
74359,2015-09-10,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,Reporting to credit report balance was settled less than full balance. Sent me letter stating that {$590.00} was paid and I have no further obligation for this account. Account is still open on my credit report. I paid a total {$1000.00},Company chooses not to provide a public response,"Selip & Stylianou, LLP",NY,10035,,Consent provided,Web,09/10/15,Closed with explanation,Yes,No,1558650
74497,2015-05-10,Credit card,,Rewards,,"I have had a cash back credit card with Citibank ( Citi Dividend Card ) that allows you to earn XXXX % every quarter on different types of purchases. It advertised XXXX % cash back when you use your card at The Home Depot and any home and garden store between XXXX XXXX and XXXX XXXX 2015. I made a {$620.00} purchase of an outdoor canopy for my backyard at XXXX, which sells home and garden merchandise and is a direct competitor of Home Depot, on XXXX XXXX, but was denied the XXXX % cash back because they claimed XXXX was a wholesale store and not part of the promotion. I believe this is false advertising on the part of Citibank.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,11758,,Consent provided,Web,05/10/15,Closed with monetary relief,Yes,No,1368665
74624,2015-12-14,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,"I have been trying to close my deceased Father 's account with Citibank since XXXX, at which time I was wrongly advised Citibank was working on the matter. Three weeks after I had completed about a dozen pages worth of forms I received notice from Citibank that I was claiming the assets as my deceased Father 's "" next of kin, '' despite the fact that I had submitted a XXXX page letter explain how my legal right to the money was due to a Trust agreement of which I had submitted appropriate pages to Citibank. From there Citibank made the assumption, also erroneous, that the total value of my deceased Father 's assets at the time of his death were less than {$150000.00} and required me to complete a form affirming such, or Citibank would wrongly maintain control of money which legal belongs to the beneficiary of my deceased Father 's Living Trust. 

Citibank has dragged their feet each step of the way, and has now proven themselves uncooperative. I would very much appreciate some help on this matter.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,XXXXX,,Consent provided,Web,12/14/15,Closed with explanation,Yes,No,1695223
74689,2015-07-23,Consumer Loan,Vehicle loan,Managing the loan or lease,,"Nissan is reporting past due. The account is current, payment of {$2000.00} has been done to Nissan on XXXX XXXX 2015, Monthly payment of {$450.00} was done XXXX XXXX, 2015. payments are current. Past due note in my credit report is affecting my score. Next payment will be XXXX XXXX, 2015.",,NISSAN MOTOR ACCEPTANCE COMPANY LLC,NY,11722,,Consent provided,Web,07/23/15,Closed with explanation,Yes,No,1482650
74691,2015-11-02,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I called Diversified Collections XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX. On XX/XX/XXXX at XXXX and spoke with XXXX badge number XXXX. I explained to him I do not owe this debt and now they have purchased the debit and it is on my credit report again from the last collections agency that reported I owned this credit and I do not. As the last collection agency XXXX XXXX XXXX XXXX XXXX on XX/XX/XXXX respond to my compliant I do not owe this monies and it was removed. Now again here we are I have spoken with XXXX they have no idea why they have this debt it was cleared up in XX/XX/XXXX. Then XXXX gave me a phone number that the account is associated with and I do n't or do not know whose number that is with. I want this removed from my credit reports immediately. There is a law in NY state that credit can not just be placed on someones credit report without first contacting them. I want Diversified to not sell off this account to another company so I do not have to go through this again. XXXX has ackowledge I do n't owe this monies and so did the last collection agency. A letter of apology is in order also. I want a letter stating that this was a mistake on there part so if it comes up again I have proof.",,"Diversified Consultants, Inc.",NY,12020,,Consent provided,Web,11/03/15,Closed with explanation,Yes,No,1634822
74844,2015-11-25,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"Forster and Garbus, located at XXXX XXXX XXXX XXXX, XXXX, XXXX XXXX has been paid in full by me and refuses toforward to me, the letter of satisfaction stating that they were paid infull. Forster and Garbus bought the debt from XXXX and filed a judgment in the with XXXX County Court that states as non satisfied debt paid. I have left Forster and Garbus several voice mails giving them the change of address to send the letter of satisfaction and I have received no response. My new address is XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX. The previous address was XXXX XXXX XXXX, XXXX, NY XXXX. I want a letter of satisfaction sent to my home or please advise me on what the next steps to take to have them send what I need. In addition, much of the debt on the XXXX credit card was charged when I resided in the state of XXXX prior to returning to XXXX. They, Forster and Garbus had knowledge of that.",Company believes it acted appropriately as authorized by contract or law,Forster & Garbus LLP,NY,11542,,Consent provided,Web,11/25/15,Closed with explanation,Yes,No,1672022
74848,2015-07-08,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,"We were effected by XXXX XXXX and XXXX offered us a XXXX month bereavement that would be added to the end of our loan. In XX/XX/XXXX, after already skipping XX/XX/XXXX and XX/XX/XXXX payments, we were informed that they made an error and we were not eligible for this program. XXXX demanded that we make-up the XXXX missed payments in full. We explained that we did not have the funds to do this since all the money was used to make repairs as a result XXXX. After the XXXX month forbearance, we started to make our usual monthly payments. However, the payments were and still are being applied to the previous months, thereby, making it appear that we have continually missed payments. As of last month, our credit report indicates that we have missed XXXX mortgage payments. To further complicate the situation, XXXX has transferred our loan to Seterus and they are also reporting ourpaymentsas missed. We have tried to resolve this matter with Seterus as well, however, each month we make a payment it is also being applied to the prior months. Thereby, making it appear that we are perpetually late and missing payments. The documents attached will show that we have never missed a mortgage payment with Seterus. Furthermore, we have had our mortgage with XXXX for close to XXXX years and the only time we did not make a payment to XXXX was during the forbearance which they authorized as a result XXXX and then reneged.",,"Seterus, Inc.",NY,125XX,,Consent provided,Web,07/08/15,Closed with explanation,Yes,Yes,1458997
74940,2015-10-14,Bank account or service,Checking account,"Account opening, closing, or management",,"Our Citibank statements either on line or in the mail no longer have copies of our checks. 
We need to see copies of the checks we write. These checks are documents we need XXXX and for other uses. 
If XXXX can give XXXX of email storage for FREE to XXXX XXXX customers, why ca n't Citibank keep less than XXXX that amount, XXXX megabyte of space to allow us to see our checks as they used to do? 
They only kept the images available for a year or so so it never amounted to a lot of storage. 
XXXX Bank is doing the same on the new account we opened there. 
Please stick up for us consumers. 
If XXXX can do it for free x XXXX, surely our bank can do it too. 
The federal government gave banks the big saving of not having to return the actual check to us. At least let us see the "" virtual '' check. 
Thanks for your time and help. 
XXXX and XXXX XXXX you for your help.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,XXXXX,,Consent provided,Web,10/19/15,Closed with explanation,Yes,No,1606971
75160,2015-10-12,Credit card,,Billing disputes,,"Dear sir, I am victim of CC fraud while I make my monthly bill from my CC for cellphone bills back from XX/XX/XXXX until XXXX. I noticed it lately in and around XX/XX/XXXX, but contacted the cellphone company store representative and describe why this charging is still happening while I was your customer and even after I closed their service and get cellphone service from other sister company. The representative retain copy of my CC statement and told to be contacted. Nothing back and replied. Then I contacted my CC provider and reported complaint and recorded as a dispute to follow up. Then sent me a letter to provide them with supporting documents I had, but I were not able to do so due to where to look for this docs., my first experience and luck of knowledge about it. Meanwhile the CC company sent me a new CC thinking that would help to stop the transaction and that did not stop charging me monthly {$100.00} without my authorization and knowledge. Yes here I can not deny that I had weakness to check my account transaction periodically and report as early as two three months after, but I completely relied on my service provider and CC to handle with integrity and security, but now I could not find and get any help stop my lose of money and affects my clean financial transactions and would affect my CC points if I am forced to close my CC account completely to stop the rip offs. 
I just ask your Bureau assistance to get the bottom it and get my money back. And also to be an example of such kind of victim of fraud to others. I seek all necessary technical assistance, followups and help what to do, where to begin with, how I could provide with you confidentially all necessary documents and information 's. 
Sincerely your help seeker ; Thank you, May XXXX Bless America!!",,JPMORGAN CHASE & CO.,NY,10039,,Consent provided,Web,10/12/15,Closed with explanation,Yes,No,1602996
75162,2015-08-28,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,"I called Capital One to make a balance transfer from another bank XXXX XXXX Bank XXXX for a lower interest rate. I called within XXXX minutes of the first phone call to cancel the transaction. I spoke with a supervisor and was told that the payment did not go through and he would put a stop payment through and I may have to pay a XXXX dollar fee for the stop payment, which I agreed to do. He said there would be no problem as it was only XXXX minutes since I made the request. I was told that the transaction could take XXXX business days so I did n't think there would be a problem. This was on XXXX XXXX. Then I got an email saying that the transaction went through. I think this was on XXXX XXXX. I called Capital One again and spoke to a supervisor. I was told they saw the stop payment and it went through but it takes sometime to show up on the account. A day or so later I looked at the bank that I was having the transfer made from XXXX XXXX Bank XXXX, and it did go through. I called Capital One again and spoke to a supervisor. I was told to call XXXX bank to ask for a refund. I did this but XXXX bank said they could n't do that. 

I called Capital One again and I was told again that the stop payment was denied! Basically, because it was an electronic transaction it was instantaneous and there was no way to reverse the transaction. I told them that a supervisor had assured me that they could stop the transaction when I called immediately after the request. I said I was lied to and/ or they made a mistake and/ or the people working for them had no idea how to handle this situation. I did n't want to pay the fee of {$87.00} because I was told the stop payment was possible and due to the basically instant request on my part to cancel the transaction and was told the stop payment was made. The supervisor refused to help me in any way. He said I could n't talk to anyone who could help me and he did n't have the authority to credit the fee. I pointed out to him that legally a person has the right to cancel a financial deal within a certain amount of time, in this case it was only XXXX minutes when the request was made. He told me that was not true. I asked to speak to the legal department and he said they did n't take calls. Basically, he said there was nothing I could do. 

I do not want to pay this fee as I was given false information and asked for a cancelation in a timely fashion. I was lied to on many different levels. I was told that the transaction would take XXXX business days. I was told the stop payment was made.",,CAPITAL ONE FINANCIAL CORPORATION,NY,132XX,,Consent provided,Web,08/28/15,Closed with monetary relief,Yes,No,1542279
